x, y
4.73612, 17.48845
4.72247, 8.28692
4.49332, 11.25696
4.56026, 20.68775
4.36891, 17.37434
4.34806, 9.05516
4.29951, 20.27917
4.13052, 11.93554
4.08642, 15.50571
4.08953, 23.29914
3.87153, 13.88976
3.78657, 11.77048
3.63805, 14.52452
3.73091, 21.95422
3.79032, 22.57166
3.85896, 24.10712
3.84836, 22.45857
3.61626, 24.29765
3.56522, 23.61092
3.51027, 24.1275
3.51909, 26.25696
3.39353, 26.77252
3.27751, 26.90192
3.32691, 28.48118
3.18371, 26.10413
3.11132, 29.17097
3.07662, 28.0614
3.13366, 19.35199
3.13662, 16.98818
2.97553, 16.63667
2.916, 18.59802
2.70355, 18.52058
2.88219, 29.66411
2.88838, 31.46651
2.81373, 31.77625
2.70827, 30.51691
2.66204, 31.57961
2.64694, 33.03763
2.61035, 33.27401
2.54095, 30.38446
2.48798, 31.19855
2.47792, 33.813
2.41665, 33.71111
2.32001, 22.13048
2.3483, 20.34948
2.14898, 28.53213
1.93409, 22.54313
1.78492, 22.26294
2.24816, 33.23529
2.31568, 35.29548
2.10609, 33.39424
2.08187, 38.32971
1.81457, 35.24759
1.78386, 39.72049
1.96759, 37.66132
1.92365, 37.52785
1.6818, 44.07112
1.64327, 39.81117
1.65609, 37.01128
1.65335, 34.60264
1.54806, 39.77958
1.4987, 26.48417
1.50572, 23.74032
1.40728, 40.55495
1.50025, 43.78074
1.53475, 44.87604
1.40606, 45.35899
1.36026, 45.0737
1.28559, 42.71804
1.25, 46.34628
1.29733, 49.52112
1.26902, 50.22212
0.99903, 40.11174
1.11654, 44.38086
1.15588, 44.73034
1.18583, 51.09122
1.15247, 50.91088
1.07362, 52.27619
1.02013, 49.88996
1.06074, 49.75649
0.85012, 49.31735
0.91766, 50.13347
0.95354, 50.74277
0.97247, 53.40715
0.90969, 54.94464
0.86088, 55.47446
0.74116, 56.81022
0.80106, 57.93608
0.85301, 64.33263
0.78951, 64.53641
0.71751, 61.61731
0.71733, 64.33467
0.66088, 76.439
0.64073, 72.16581
0.61968, 67.9028
0.64771, 68.95021
0.56474, 74.83936
0.54012, 80.12736
0.68801, 85.06589
0.59779, 85.63544
0.56834, 88.84696
0.62914, 90.9102
0.50022, 90.58722
0.49084, 95.02955
0.52271, 97.77136
0.5417, 104.8312
0.56743, 108.19352
0.47161, 107.16954
0.37824, 107.89601
0.42936, 110.34336
0.47935, 114.68584
0.52053, 117.95544
0.41746, 114.87332
0.39574, 117.29113
0.42489, 120.63103
0.39479, 123.9638
0.34849, 122.30607
0.27276, 123.03967
0.33219, 125.9822
0.2809, 129.04395
0.3308, 131.67878
0.35041, 135.89798
0.24036, 133.39866
0.26285, 137.42426
0.28782, 139.74935
0.22234, 142.23237
0.20613, 144.84988
0.26825, 150.98152
0.19681, 153.2139
0.2058, 157.9731
0.14732, 157.36992
0.23402, 163.87549
0.08071, 154.73203
0.13523, 161.53614
0.07303, 165.46291
0.1689, 169.02187
0.13136, 166.96678
0.19613, 173.20744
0.15053, 175.63341
0.1072, 178.95089
0.06792, 174.63999
0.10771, 172.49525
0.06289, 171.37244